,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
87,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)N1[H],<fegrow.package.RMol object at 0x151af246e2a0>,,21,False,False,False,
88,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c([H])c(C#N)c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28f4e00>,,21,False,False,False,
89,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])([H])C([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ac950>,,21,False,False,False,
90,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ad8a0>,,21,False,False,False,
91,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])nn(C([H])([H])[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30acb80>,,21,False,False,False,
92,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af29195d0>,,21,False,False,False,
93,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(n2c([H])nc([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24d5120>,,21,False,False,False,
94,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24ad030>,,21,False,False,False,
95,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30cfe70>,,21,False,False,False,
96,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30ba020>,,21,False,False,False,
97,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af21dd580>,,21,False,False,False,
98,[H]C#C[C@@]1(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])C(=O)N(C([H])([H])[H])C(=N[H])N1[H],<fegrow.package.RMol object at 0x151af28f5ad0>,,21,False,False,False,
99,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])nc(OC([H])([H])[H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30c3420>,,21,False,False,False,
